,path,pol,id,mod_time,t,abs
48,data/UV/181120_dpp_cn10_v30_t125/para/para_00048.txt,para,48,10.0,4.800000000000001,"[ 0.19826087  0.20043478  0.2067234  ...  0.02753488 -0.006
  0.02871429]"
49,data/UV/181120_dpp_cn10_v30_t125/para/para_00049.txt,para,49,10.0,4.9,"[ 2.08782609e-01  2.04652174e-01  1.99212766e-01 ...  8.49069767e-02
  1.27142857e-02 -9.52380952e-05]"
50,data/UV/181120_dpp_cn10_v30_t125/para/para_00050.txt,para,50,10.0,5.0,[0.20395652 0.19895652 0.20361702 ... 0.06111628 0.03371429 0.03488095]
51,data/UV/181120_dpp_cn10_v30_t125/para/para_00051.txt,para,51,10.0,5.1000000000000005,"[ 0.20147826  0.19930435  0.20361702 ...  0.05518605  0.03985714
 -0.00642857]"
52,data/UV/181120_dpp_cn10_v30_t125/para/para_00052.txt,para,52,10.0,5.2,"[ 0.19382609  0.19143478  0.19631915 ...  0.07902326  0.02228571
 -0.0137619 ]"
53,data/UV/181120_dpp_cn10_v30_t125/para/para_00053.txt,para,53,10.0,5.300000000000001,[0.20273913 0.20882609 0.20793617 ... 0.09406977 0.03728571 0.00811905]
54,data/UV/181120_dpp_cn10_v30_t125/para/para_00054.txt,para,54,10.0,5.4,[0.19795652 0.19165217 0.18404255 ... 0.0537907  0.03957143 0.01769048]
55,data/UV/181120_dpp_cn10_v30_t125/para/para_00055.txt,para,55,10.0,5.5,[0.19752174 0.20469565 0.20042553 ... 0.05872093 0.02842857 0.05252381]
56,data/UV/181120_dpp_cn10_v30_t125/para/para_00056.txt,para,56,12.0,5.6000000000000005,[0.20191304 0.18734783 0.17904255 ... 0.07486047 0.05757143 0.00366667]
57,data/UV/181120_dpp_cn10_v30_t125/para/para_00057.txt,para,57,12.0,5.7,[0.21265217 0.19982609 0.20106383 ... 0.02165116 0.02585714 0.00342857]
58,data/UV/181120_dpp_cn10_v30_t125/para/para_00058.txt,para,58,12.0,5.800000000000001,[0.20826087 0.20195652 0.19576596 ... 0.07130233 0.00685714 0.00890476]
59,data/UV/181120_dpp_cn10_v30_t125/para/para_00059.txt,para,59,12.0,5.9,"[ 0.20669565  0.20256522  0.19559574 ...  0.06055814  0.03228571
 -0.01840476]"
60,data/UV/181120_dpp_cn10_v30_t125/para/para_00060.txt,para,60,12.0,6.0,[0.20913043 0.19543478 0.1756383  ... 0.01397674 0.01642857 0.01380952]
61,data/UV/181120_dpp_cn10_v30_t125/para/para_00061.txt,para,61,12.0,6.1000000000000005,"[ 0.19817391  0.19643478  0.19331915 ...  0.04046512  0.02885714
 -0.02466667]"
62,data/UV/181120_dpp_cn10_v30_t125/para/para_00062.txt,para,62,12.0,6.2,"[ 0.21104348  0.1856087   0.18768085 ...  0.04609302  0.03542857
 -0.00695238]"
63,data/UV/181120_dpp_cn10_v30_t125/para/para_00063.txt,para,63,12.0,6.300000000000001,[0.19817391 0.196      0.20106383 ... 0.05888372 0.02714286 0.00885714]
64,data/UV/181120_dpp_cn10_v30_t125/para/para_00064.txt,para,64,12.0,6.4,"[ 2.09086957e-01  1.96478261e-01  1.96617021e-01 ... -4.65116279e-05
  2.80000000e-02 -3.50000000e-02]"
65,data/UV/181120_dpp_cn10_v30_t125/para/para_00065.txt,para,65,12.0,6.5,"[ 0.20134783  0.20134783  0.19670213 ...  0.05218605  0.05085714
 -0.01121429]"
66,data/UV/181120_dpp_cn10_v30_t125/para/para_00066.txt,para,66,14.0,6.6000000000000005,[0.19573913 0.20117391 0.19414894 ... 0.04625581 0.02442857 0.0172381 ]
67,data/UV/181120_dpp_cn10_v30_t125/para/para_00067.txt,para,67,14.0,6.7,[0.20169565 0.20626087 0.18846809 ... 0.05830233 0.03928571 0.03447619]
68,data/UV/181120_dpp_cn10_v30_t125/para/para_00068.txt,para,68,14.0,6.800000000000001,[0.18773913 0.19426087 0.20689362 ... 0.06104651 0.02985714 0.01345238]
69,data/UV/181120_dpp_cn10_v30_t125/para/para_00069.txt,para,69,14.0,6.9,"[ 0.203       0.18778261  0.19802128 ...  0.03353488  0.03514286
 -0.00761905]"
70,data/UV/181120_dpp_cn10_v30_t125/para/para_00070.txt,para,70,14.0,7.0,"[ 0.21186957  0.20165217  0.19404255 ...  0.02948837  0.03257143
 -0.01354762]"
71,data/UV/181120_dpp_cn10_v30_t125/para/para_00071.txt,para,71,14.0,7.1000000000000005,[0.20486957 0.20443478 0.19480851 ... 0.03162791 0.02314286 0.01378571]
72,data/UV/181120_dpp_cn10_v30_t125/para/para_00072.txt,para,72,14.0,7.2,"[ 0.18773913  0.19165217  0.20361702 ...  0.08516279  0.04571429
 -0.0002619 ]"
73,data/UV/181120_dpp_cn10_v30_t125/para/para_00073.txt,para,73,14.0,7.300000000000001,"[ 0.20317391  0.20556522  0.19787234 ...  0.03090698  0.02128571
 -0.0227619 ]"
74,data/UV/181120_dpp_cn10_v30_t125/para/para_00074.txt,para,74,14.0,7.4,[0.19056522 0.18926087 0.20044681 ... 0.06569767 0.06042857 0.01288095]
75,data/UV/181120_dpp_cn10_v30_t125/para/para_00075.txt,para,75,14.0,7.5,"[ 0.20613043  0.20221739  0.18908511 ...  0.0464186   0.00628571
 -0.02735714]"
76,data/UV/181120_dpp_cn10_v30_t125/para/para_00076.txt,para,76,16.0,7.6000000000000005,[0.19808696 0.20634783 0.20531915 ... 0.05648837 0.02357143 0.013     ]
77,data/UV/181120_dpp_cn10_v30_t125/para/para_00077.txt,para,77,16.0,7.7,"[ 0.20721739  0.1993913   0.19438298 ...  0.05793023  0.02014286
 -0.01104762]"
78,data/UV/181120_dpp_cn10_v30_t125/para/para_00078.txt,para,78,16.0,7.800000000000001,[0.20017391 0.20713043 0.1946383  ... 0.05704651 0.03271429 0.01914286]
79,data/UV/181120_dpp_cn10_v30_t125/para/para_00079.txt,para,79,16.0,7.9,"[ 0.19830435  0.20482609  0.20538298 ...  0.02460465  0.01371429
 -0.0067619 ]"
80,data/UV/181120_dpp_cn10_v30_t125/para/para_00080.txt,para,80,16.0,8.0,[0.20308696 0.19895652 0.20217021 ... 0.06283721 0.04457143 0.02519048]
81,data/UV/181120_dpp_cn10_v30_t125/para/para_00081.txt,para,81,16.0,8.1,"[ 0.21217391  0.21913043  0.20591489 ...  0.06730233 -0.012
  0.00057143]"
82,data/UV/181120_dpp_cn10_v30_t125/para/para_00082.txt,para,82,16.0,8.200000000000001,"[ 0.19478261  0.18782609  0.19851064 ...  0.04844186  0.05242857
 -0.0045    ]"
83,data/UV/181120_dpp_cn10_v30_t125/para/para_00083.txt,para,83,16.0,8.3,[0.20713043 0.20843478 0.19519149 ... 0.06260465 0.00285714 0.02042857]
84,data/UV/181120_dpp_cn10_v30_t125/para/para_00084.txt,para,84,16.0,8.4,"[ 0.20247826  0.20704348  0.2052766  ...  0.07923256 -0.007
  0.03197619]"
85,data/UV/181120_dpp_cn10_v30_t125/para/para_00085.txt,para,85,16.0,8.5,"[ 0.19573913  0.20378261  0.20176596 ...  0.05725581  0.01285714
 -0.00721429]"
86,data/UV/181120_dpp_cn10_v30_t125/para/para_00086.txt,para,86,18.0,8.6,"[ 0.19486957  0.20291304  0.18985106 ...  0.06969767  0.05242857
 -0.0167381 ]"
87,data/UV/181120_dpp_cn10_v30_t125/para/para_00087.txt,para,87,18.0,8.700000000000001,"[ 0.20065217  0.19478261  0.2007234  ...  0.05755814  0.00271429
 -0.00747619]"
88,data/UV/181120_dpp_cn10_v30_t125/para/para_00088.txt,para,88,18.0,8.8,[0.19947826 0.2083913  0.20559574 ... 0.06118605 0.00728571 0.01557143]
89,data/UV/181120_dpp_cn10_v30_t125/para/para_00089.txt,para,89,18.0,8.9,"[ 0.20204348  0.204       0.20259574 ...  0.07953488  0.04885714
 -0.02985714]"
90,data/UV/181120_dpp_cn10_v30_t125/para/para_00090.txt,para,90,18.0,9.0,"[ 0.20926087  0.1886087   0.20080851 ...  0.05786047  0.026
 -0.01754762]"
91,data/UV/181120_dpp_cn10_v30_t125/para/para_00091.txt,para,91,18.0,9.1,"[ 0.19943478  0.19356522  0.20323404 ...  0.04865116  0.03828571
 -0.02638095]"
